13,0,3,145.0,2,4,200,10/02/2023,sale,apartment | entire property | stately property class,6 floors,libero,cancello elettricofibra otticavideocitofonoimpianto di allarmeporta blindataarmadio a murobalconeportiere intera giornataimpianto tv centralizzatoparzialmente arredatocantinagiardino comuneinfissi esterni in doppio vetro / legnoesposizione doppia,940000.0,1940.0,very good / refurbished,"autonomous, cold/heat","e≥ 3,51 kwh/m² year",milano,parco trotter,1 in garage/box,NaN,NaN,NaN,NaN,NaN,NaN,1,4,centralized,to radiators,gas powered,autonomous, cold/hot,nan
14,0,3,105.0,1,2,200,17/02/2023,sale,apartment | entire property | stately property class,5 floors,NaN,fibra otticavideocitofonoporta blindatabalconeportiere intera giornataimpianto tv centralizzatoparzialmente arredatocantinagiardino comuneinfissi esterni in vetro / pvcesposizione doppia,449000.0,1960.0,to be restructured,"autonomous, cold/heat",g≥ 175 kwh/m² year,milano,città studi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,centralized,to radiators,methane powered,autonomous, cold/hot,nan
15,0,3,110.0,2,2,330,13/02/2023,sale | income property,apartment | entire property | stately property class,10 floors,NaN,cancello elettricofibra otticavideocitofonoimpianto di allarmeporta blindataarmadio a murobalconeportiere intera giornataimpianto tv centralizzatoparzialmente arredatogiardino comuneinfissi esterni in doppio vetro / metalloesposizione doppia,858000.0,1900.0,very good / refurbished,"autonomous, cold/heat",e172.14 kwh/m² year,milano,repubblica,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,centralized,to radiators,methane powered,autonomous, cold/hot,703.0
16,0,4,122.0,1,2,208,10/02/2023,sale,apartment | entire property | medium property class,8 floors,libero,cancello elettricofibra otticavideocitofonoporta blindataesposizione esternabalconeportiere intera giornataimpianto tv centralizzatoinfissi esterni in doppio vetro / metallo,465000.0,1970.0,good / habitable,NaN,f173.54 kwh/m² year,milano,cascina dei pomi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2,centralized,to radiators,methane powered,NaN,NaN,nan
17,0,5,183.0,2,R,567,10/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,fibra otticaporta blindatabalconeportiere intera giornataimpianto tv centralizzatocantinagiardino comuneinfissi esterni in doppio vetro / pvcesposizione doppia,1310000.0,1930.0,very good / refurbished,NaN,"e≥ 3,51 kwh/m² year",milano,arco della pace,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,0,centralized,to radiators,gas powered,NaN,NaN,nan
18,0,5,175.0,2,3,292,20/09/2022,sale,apartment | entire property | stately property class,5 floors,libero,fibra otticaporta blindataarmadio a murobalconeportiere intera giornataimpianto tv singoloparzialmente arredatocantinagiardino comuneinfissi esterni in doppio vetro / legnoesposizione doppia,1300000.0,1930.0,good / habitable,"autonomous, cold",e131.78 kwh/m² year,milano,indipendenza,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,autonomous,to radiators,methane powered,autonomous, cold,nan
19,0,4,120.0,2,6,330,16/02/2023,sale,apartment | entire property | medium property class,7 floors,libero,caminettofibra otticavideocitofonoporta blindatabalconeimpianto tv centralizzatoparzialmente arredatocantinainfissi esterni in doppio vetro / legnoesposizione doppia,595000.0,1960.0,to be restructured,NaN,g167.25 kwh/m² year,milano,città studi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,6,centralized,to radiators,methane powered,NaN,NaN,nan
20,0,4,130.0,2,3,417,22/02/2023,sale,apartment | entire property | medium property class,6 floors,libero,videocitofonoarmadio a murobalconeportiere intera giornataimpianto tv centralizzatoarredatocantinagiardino comuneinfissi esterni in doppio vetro / legnoesposizione doppia,795000.0,1940.0,good / habitable,NaN,e134 kwh/m² year,milano,città studi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3,centralized,to radiators,methane powered,NaN,NaN,nan
21,0,2,55.0,1,4,160,20/02/2023,sale,apartment | entire property | stately property class,8 floors,NaN,fibra otticaimpianto di allarmeporta blindataesposizione internabalconeportiere intera giornataimpianto tv centralizzatoparzialmente arredatogiardino comuneinfissi esterni in doppio vetro / legno,420000.0,1962.0,very good / refurbished,"autonomous, cold/heat",e≥ 175 kwh/m² year,milano,sempione,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4,centralized,On the floor,fueled by diesel,autonomous, cold/hot,nan
22,0,4,140.0,3,3,563,09/01/2023,sale,apartment | entire property | stately property class,4 floors,libero,cancello elettricofibra otticaporta blindataesposizione esternaterrazzaportiere intera giornataimpianto tv centralizzatocantinagiardino comuneinfissi esterni in vetro / metallo,1420000.0,1960.0,good / habitable,NaN,g154.81 kwh/m² year,milano,buenos aires,1 in garage/box,NaN,NaN,NaN,NaN,NaN,NaN,1,3,centralized,On the floor,gas powered,NaN,NaN,nan
23,0,5,273.0,3,1,150,23/01/2023,sale,lofts | entire property | stately property class,3 floors,libero,caminettofibra otticavideocitofonoimpianto di allarmeporta blindataesposizione esternabalconeterrazzaimpianto tv centralizzatogiardino privatoinfissi esterni in triplo vetro / legno,1650000.0,1920.0,good / habitable,NaN,"g≥ 3,51 kwh/m² year",milano,navigli - darsena,"1 in garage/box, 2 all'esterno",winter summer,NaN,NaN,NaN,NaN,NaN,0,1,autonomous,to radiators,methane powered,NaN,NaN,351.0
24,0,1,40.0,1,1,100,03/02/2023,sale | income property,apartment | entire property | medium property class,5 floors,NaN,fibra otticaporta blindataesposizione esternaterrazzaimpianto tv centralizzatoparzialmente arredatocantinainfissi esterni in doppio vetro / pvc,189000.0,1960.0,very good / refurbished,"autonomous, cold/heat",g125.3 kwh/m² year,milano,ortica,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,centralized,to radiators,methane powered,autonomous, cold/hot,nan
25,0,1,40.0,1,6,142,15/02/2023,sale | income property,apartment | entire property | stately property class,6 floors,NaN,mansardavideocitofonoporta blindataesposizione internaportiere intera giornataimpianto tv centralizzatoarredatogiardino comuneinfissi esterni in doppio vetro / legno,420000.0,1800.0,very good / refurbished,"autonomous, cold",g178.08 kwh/m² year,milano,carrobbio,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,6,autonomous,to radiators,methane powered,autonomous, cold,nan
26,0,2,60.0,1,1,125,09/02/2023,sale,apartment | entire property | stately property class,8 floors,libero,porta blindataesposizione esternabalconeportiere mezza giornataimpianto tv centralizzatoarredatocantinainfissi esterni in doppio vetro / pvc,355000.0,1960.0,new / under construction,system preparation,e175 kwh/m² year,milano,san siro,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,centralized,to radiators,methane powered,system preparation,NaN,nan
27,0,3,87.0,1,4,135,03/02/2023,sale,apartment | entire property | stately property class,5 floors,libero,fibra otticavideocitofonoporta blindataarmadio a murobalconeportiere mezza giornataimpianto tv centralizzatocantinainfissi esterni in doppio vetro / metalloesposizione doppia,620000.0,1910.0,good / habitable,"autonomous, cold",e201.52 kwh/m² year,milano,porta venezia,NaN,winter summer,NaN,NaN,NaN,NaN,NaN,1,4,autonomous,to radiators,gas powered,autonomous, cold,1193.0
28,0,4,170.0,1,5,300,16/01/2023,sale,apartment | entire property | stately property class,5 floors,libero,impianto di allarmeporta blindataesposizione internabalconeterrazzaportiere intera giornataimpianto tv centralizzatocantinainfissi esterni in vetro / legno,890000.0,1970.0,good / habitable,"autonomous, cold/heat",g175 kwh/m² year,milano,barona,1 in garage/box,NaN,NaN,NaN,NaN,NaN,NaN,1,5,centralized,to radiators,methane powered,autonomous, cold/hot,nan
29,0,5,160.0,2,5,250,15/02/2023,sale,apartment | entire property | medium property class,8 floors,libero,fibra otticaporta blindatabalconeportiere intera giornataimpianto tv centralizzatocantinainfissi esterni in vetro / legnoesposizione doppia,795000.0,1960.0,to be restructured,"autonomous, cold",g182.3 kwh/m² year,milano,argonne - corsica,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5,centralized,On the floor,methane powered,autonomous, cold,nan
30,0,4,125.0,2,NaN,300,17/02/2023,sale,apartment | entire property | stately property class,3 floors,NaN,fibra otticavideocitofonoimpianto di allarmeporta blindatabalconeportiere intera giornataimpianto tv centralizzatoarredatocantinagiardino comuneinfissi esterni in doppio vetro / pvcesposizione doppia,699000.0,1967.0,very good / refurbished,"autonomous, cold/heat",g195.4 kwh/m² year,milano,maggiolina,1 in garage/box,NaN,NaN,NaN,NaN,NaN,NaN,1,2,centralized,to radiators,methane powered,autonomous, cold/hot,nan
