70,Global Price Index of All Commodities,monthly,index 2016=100,2018-03-01,126.116602528028
71,Global Price Index of All Commodities,monthly,index 2016=100,2018-02-01,126.349051212069
72,Global Price Index of All Commodities,monthly,index 2016=100,2018-01-01,128.461669849086
73,Global Price Index of All Commodities,monthly,index 2016=100,2017-12-01,121.992279700185
74,Global Price Index of All Commodities,monthly,index 2016=100,2017-11-01,120.500268941428
75,Global Price Index of All Commodities,monthly,index 2016=100,2017-10-01,115.562701096136
76,Global Price Index of All Commodities,monthly,index 2016=100,2017-09-01,114.09346486128
77,Global Price Index of All Commodities,monthly,index 2016=100,2017-08-01,111.044240889913
78,Global Price Index of All Commodities,monthly,index 2016=100,2017-07-01,108.228429724116
79,Global Price Index of All Commodities,monthly,index 2016=100,2017-06-01,105.675238726499
80,Global Price Index of All Commodities,monthly,index 2016=100,2017-05-01,108.927676016284
81,Global Price Index of All Commodities,monthly,index 2016=100,2017-04-01,111.112790999156
82,Global Price Index of All Commodities,monthly,index 2016=100,2017-03-01,110.842228738389
83,Global Price Index of All Commodities,monthly,index 2016=100,2017-02-01,116.331460765317
84,Global Price Index of All Commodities,monthly,index 2016=100,2017-01-01,115.704869800857
85,Global Price Index of All Commodities,monthly,index 2016=100,2016-12-01,111.463587626653
86,Global Price Index of All Commodities,monthly,index 2016=100,2016-11-01,105.525639224854
87,Global Price Index of All Commodities,monthly,index 2016=100,2016-10-01,106.720403357688
88,Global Price Index of All Commodities,monthly,index 2016=100,2016-09-01,103.17943979476
89,Global Price Index of All Commodities,monthly,index 2016=100,2016-08-01,103.156242149091
90,Global Price Index of All Commodities,monthly,index 2016=100,2016-07-01,102.794468094437
91,Global Price Index of All Commodities,monthly,index 2016=100,2016-06-01,103.515057896825
92,Global Price Index of All Commodities,monthly,index 2016=100,2016-05-01,100.832288233466
93,Global Price Index of All Commodities,monthly,index 2016=100,2016-04-01,96.9279430586823
94,Global Price Index of All Commodities,monthly,index 2016=100,2016-03-01,93.5966567628088
95,Global Price Index of All Commodities,monthly,index 2016=100,2016-02-01,87.0150888635958
96,Global Price Index of All Commodities,monthly,index 2016=100,2016-01-01,85.2731849371398
97,Global Price Index of All Commodities,monthly,index 2016=100,2015-12-01,90.5728796066738
98,Global Price Index of All Commodities,monthly,index 2016=100,2015-11-01,96.0093230576381
99,Global Price Index of All Commodities,monthly,index 2016=100,2015-10-01,102.040725243686
100,Global Price Index of All Commodities,monthly,index 2016=100,2015-09-01,101.881826679377
101,Global Price Index of All Commodities,monthly,index 2016=100,2015-08-01,102.354659760561
102,Global Price Index of All Commodities,monthly,index 2016=100,2015-07-01,109.327539142244
103,Global Price Index of All Commodities,monthly,index 2016=100,2015-06-01,115.742643374841
104,Global Price Index of All Commodities,monthly,index 2016=100,2015-05-01,118.119367498046
105,Global Price Index of All Commodities,monthly,index 2016=100,2015-04-01,114.580373947608
106,Global Price Index of All Commodities,monthly,index 2016=100,2015-03-01,113.248246566578
107,Global Price Index of All Commodities,monthly,index 2016=100,2015-02-01,117.198881925442
108,Global Price Index of All Commodities,monthly,index 2016=100,2015-01-01,113.974758439255
109,Global Price Index of All Commodities,monthly,index 2016=100,2014-12-01,125.92723660929
110,Global Price Index of All Commodities,monthly,index 2016=100,2014-11-01,139.118864477708
111,Global Price Index of All Commodities,monthly,index 2016=100,2014-10-01,145.765382671243
112,Global Price Index of All Commodities,monthly,index 2016=100,2014-09-01,154.167918007637
113,Global Price Index of All Commodities,monthly,index 2016=100,2014-08-01,159.253727420342
114,Global Price Index of All Commodities,monthly,index 2016=100,2014-07-01,164.797642103171
115,Global Price Index of All Commodities,monthly,index 2016=100,2014-06-01,168.351310351098
116,Global Price Index of All Commodities,monthly,index 2016=100,2014-05-01,168.070779566853
